LP-L, LP-W, UP-L, LP-T , UP-T , UP-W,Fillet,Hole Radii, Equivalent Stress Maximum ,Total Deformation Maximum
100,50,100,20,20,50,3,10,34.07421403,0.048851224
120,50,100,20,20,50,3,10,32.69909593,0.048853425
100,50,100,25,20,50,3,10,25.34593531,0.027808675
100,50,100,20,20,50,6,10,32.57805698,0.047192448
80,50,100,20,20,50,2,10,36.27329298,0.049359862
100,50,100,20,20,50,3,8,41.13761731,0.051094823
100,50,120,20,20,50,3,10,32.4461345,0.059155897
100,50,100,20,25,50,3,10,32.75168335,0.040670309
85,50,110,22,23,50,3,9,30.2563722,0.038048246
120,50,105,24,21,50,5,10,23.42594182,0.030119716
95,50,105,24,21,50,5,8,24.73933568,0.031444149
110,50,102,21,24,50,4,8,33.47851722,0.039108775
88,50,115,23,22,50,2,10,28.720745,0.03656765
100,50,108,20,25,50,3,8,34.67269892,0.046274376
118,50,120,22,20,50,5,9,25.70258623,0.046452738
90,50,112,25,23,50,6,9,21.70352486,0.026783364
105,50,100,21,24,50,4,8,34.29638802,0.038350005
115,50,117,24,22,50,2,9,28.13092674,0.034124226
82,50,104,23,25,50,3,10,24.70258155,0.028952573
108,50,119,20,21,50,6,8,34.1058607,0.056746491
97,50,111,22,23,50,5,9,26.74002968,0.037560413
112,50,106,25,24,50,4,10,20.99173377,0.024270342
86,50,113,21,20,50,2,8,35.02972171,0.051731424
119,50,101,23,22,50,6,9,26.08300291,0.031158634
93,50,116,24,25,50,3,10,23.46731585,0.028912694
107,50,109,20,21,50,5,8,32.56438425,0.052441797
99,50,114,22,24,50,4,9,27.70634766,0.037619742
104,50,103,25,23,50,2,10,25.24961227,0.025093659
103,50,112,20,22,50,4,10,30.91086228,0.050010528
95,50,100,23,21,50,6,10,23.24843083,0.03148006
118,50,109,20,21,50,6,8,36.38504102,0.051851064
84,50,117,23,20,50,5,10,26.52849471,0.039662962
101,50,100,25,23,50,4,10,20.71318588,0.023783652
100,50,115,25,22,50,5,8,23.36168815,0.029810527
120,50,114,23,22,50,4,9,25.83865725,0.03621907
114,50,107,23,23,50,4,8,25.97038078,0.033323458
105,50,103,23,20,50,5,9,25.22948819,0.035246333
104,50,103,21,25,50,3,10,29.12456578,0.036659646
84,50,113,21,22,50,5,8,33.36132384,0.046055429
106,50,106,23,24,50,6,10,24.67619549,0.029571219
120,50,102,21,23,50,6,9,28.37112462,0.038556869
86,50,107,24,21,50,3,9,25.41558831,0.032151194
97,50,111,24,22,50,5,10,23.36711578,0.03050777
103,50,101,20,24,50,6,9,32.4372184,0.042112607
113,50,105,25,21,50,3,10,24.14290702,0.0278314
114,50,108,21,23,50,4,8,32.87769329,0.042844693
94,50,104,23,20,50,2,8,31.04905483,0.037638258
113,50,109,25,25,50,6,8,22.23703284,0.02468249
96,50,119,21,25,50,3,8,34.86893899,0.044627792
88,50,120,22,25,50,3,9,26.96434189,0.038692324
104,50,118,24,24,50,6,9,26.21741081,0.030248932
98,50,114,23,24,50,4,10,24.62682555,0.032639259
81,50,115,25,20,50,4,8,25.09021606,0.033350448
83,50,106,21,20,50,2,10,32.8718982,0.046349333
108,50,104,23,21,50,2,10,29.11970258,0.03438908
118,50,103,20,20,50,2,9,35.11710769,0.052000305
99,50,110,25,23,50,4,8,22.17859713,0.027540933
88,50,105,22,25,50,4,8,31.21372349,0.034345666
87,50,110,20,24,50,4,10,30.11972864,0.045688391
80,50,106,25,20,50,6,8,21.52062305,0.029722731
114,50,100,22,25,50,3,10,26.81262902,0.031376825
82,50,103,22,24,50,5,8,31.04893065,0.034455278
111,50,117,23,24,50,4,8,28.59508091,0.035199011
114,50,104,21,23,50,6,9,28.82324248,0.039319456
92,50,104,24,24,50,6,8,22.75937541,0.027216175
92,50,109,20,24,50,6,10,36.14263232,0.044237711
81,50,102,22,25,50,5,10,27.41151654,0.031302324
109,50,112,23,22,50,6,8,25.45065827,0.03554909
88,50,118,23,20,50,6,8,24.02026319,0.041184074
108,50,101,20,21,50,2,8,37.97811322,0.050050428
98,50,102,20,21,50,6,9,34.43227664,0.047291708
101,50,101,24,22,50,2,9,26.75315,0.029164591
112,50,104,24,21,50,4,10,22.86992767,0.030175073
113,50,109,20,22,50,3,9,32.76761775,0.050340719
